"sku","categoria","familia"
"104512230","ACEITES Y VINAGRES","ACEITES DE OLIVA"
"104514840","ACEITES Y VINAGRES","ACEITES DE OLIVA"
"104514850","ACEITES Y VINAGRES","ACEITES DE OLIVA"
"104514860","ACEITES Y VINAGRES","ACEITES DE OLIVA"
"104521640","ACEITES Y VINAGRES","ACEITES DE OLIVA"
"104524420","ACEITES Y VINAGRES","ACEITES DE OLIVA"
"104531070","ACEITES Y VINAGRES","ACEITES DE OLIVA"
"104531110","ACEITES Y VINAGRES","ACEITES DE OLIVA"
"104537630","ACEITES Y VINAGRES","ACEITES DE OLIVA"
"104539450","ACEITES Y VINAGRES","ACEITES DE OLIVA"
"104539460","ACEITES Y VINAGRES","ACEITES DE OLIVA"
"104539470","ACEITES Y VINAGRES","ACEITES DE OLIVA"
"104511950","ACEITES Y VINAGRES","ACEITES ESPECIALES"
"104521650","ACEITES Y VINAGRES","ACEITES ESPECIALES"
"104534130","ACEITES Y VINAGRES","ACEITES ESPECIALES"
"150000273","ACEITES Y VINAGRES","ACEITES ESPECIALES"
"104500860","ACEITES Y VINAGRES","ACEITES VEGETALES"
"104500940","ACEITES Y VINAGRES","ACEITES VEGETALES"
"104500950","ACEITES Y VINAGRES","ACEITES VEGETALES"
"104512690","ACEITES Y VINAGRES","ACEITES VEGETALES"
"104519250","ACEITES Y VINAGRES","ACEITES VEGETALES"
"104519410","ACEITES Y VINAGRES","ACEITES VEGETALES"
"104519530","ACEITES Y VINAGRES","ACEITES VEGETALES"
"104535420","ACEITES Y VINAGRES","ACEITES VEGETALES"
"104535430","ACEITES Y VINAGRES","ACEITES VEGETALES"
"104535440","ACEITES Y VINAGRES","ACEITES VEGETALES"
"104535450","ACEITES Y VINAGRES","ACEITES VEGETALES"
"104535460","ACEITES Y VINAGRES","ACEITES VEGETALES"
"104535470","ACEITES Y VINAGRES","ACEITES VEGETALES"
"104540480","ACEITES Y VINAGRES","ACEITES VEGETALES"
"104540490","ACEITES Y VINAGRES","ACEITES VEGETALES"
"150001861","ACEITES Y VINAGRES","ACEITES VEGETALES"
"101310243","ACEITES Y VINAGRES","ACETOS BALSAMICOS"
"104514870","ACEITES Y VINAGRES","ACETOS BALSAMICOS"
"104530120","ACEITES Y VINAGRES","ACETOS BALSAMICOS"
"104531100","ACEITES Y VINAGRES","ACETOS BALSAMICOS"
"104534280","ACEITES Y VINAGRES","ACETOS BALSAMICOS"
"104539430","ACEITES Y VINAGRES","ACETOS BALSAMICOS"
"104539440","ACEITES Y VINAGRES","ACETOS BALSAMICOS"
"104539520","ACEITES Y VINAGRES","ACETOS BALSAMICOS"
"201610150","ACEITES Y VINAGRES","ACETOS BALSAMICOS"
"104500950","ACEITES Y VINAGRES","DESCONTINUADOS"
"104510210","ACEITES Y VINAGRES","DESCONTINUADOS"
"104512680","ACEITES Y VINAGRES","DESCONTINUADOS"
"104512690","ACEITES Y VINAGRES","DESCONTINUADOS"
"104514540","ACEITES Y VINAGRES","DESCONTINUADOS"
"104514850","ACEITES Y VINAGRES","DESCONTINUADOS"
"104514860","ACEITES Y VINAGRES","DESCONTINUADOS"
"104515600","ACEITES Y VINAGRES","DESCONTINUADOS"
"104518630","ACEITES Y VINAGRES","DESCONTINUADOS"
"104519530","ACEITES Y VINAGRES","DESCONTINUADOS"
"104521400","ACEITES Y VINAGRES","DESCONTINUADOS"
"104521410","ACEITES Y VINAGRES","DESCONTINUADOS"
"104521810","ACEITES Y VINAGRES","DESCONTINUADOS"
"104525430","ACEITES Y VINAGRES","DESCONTINUADOS"
"104525500","ACEITES Y VINAGRES","DESCONTINUADOS"
"104525620","ACEITES Y VINAGRES","DESCONTINUADOS"
"104527230","ACEITES Y VINAGRES","DESCONTINUADOS"
"104527870","ACEITES Y VINAGRES","DESCONTINUADOS"
"104530200","ACEITES Y VINAGRES","DESCONTINUADOS"
"104531110","ACEITES Y VINAGRES","DESCONTINUADOS"
"104532610","ACEITES Y VINAGRES","DESCONTINUADOS"
"104532620","ACEITES Y VINAGRES","DESCONTINUADOS"
"104532840","ACEITES Y VINAGRES","DESCONTINUADOS"
"104533560","ACEITES Y VINAGRES","DESCONTINUADOS"
"150000111","ACEITES Y VINAGRES","DESCONTINUADOS"
"150000275","ACEITES Y VINAGRES","DESCONTINUADOS"
"150000825","ACEITES Y VINAGRES","DESCONTINUADOS"
"150000854","ACEITES Y VINAGRES","DESCONTINUADOS"
"150000855","ACEITES Y VINAGRES","DESCONTINUADOS"
"150001314","ACEITES Y VINAGRES","DESCONTINUADOS"
"150001468","ACEITES Y VINAGRES","DESCONTINUADOS"
"150001688","ACEITES Y VINAGRES","DESCONTINUADOS"
"150001766","ACEITES Y VINAGRES","DESCONTINUADOS"
"150001767","ACEITES Y VINAGRES","DESCONTINUADOS"
"150001860","ACEITES Y VINAGRES","DESCONTINUADOS"
"150001866","ACEITES Y VINAGRES","DESCONTINUADOS"
"201222150","ACEITES Y VINAGRES","DESCONTINUADOS"
"201222990","ACEITES Y VINAGRES","DESCONTINUADOS"
"201230750","ACEITES Y VINAGRES","DESCONTINUADOS"
"201230930","ACEITES Y VINAGRES","DESCONTINUADOS"
"201610150","ACEITES Y VINAGRES","DESCONTINUADOS"
"104521960","ACEITES Y VINAGRES","MINI PORCIONES"
"104537620","ACEITES Y VINAGRES","MINI PORCIONES"
"104534090","ACEITES Y VINAGRES","VINAGRES"
"150001445","ACEITES Y VINAGRES","VINAGRES"
"150001692","ACEITES Y VINAGRES","VINAGRES"
"150001883","ACEITES Y VINAGRES","VINAGRES"
"201200131","ACEITES Y VINAGRES","VINAGRES"
"201230210","ACEITES Y VINAGRES","VINAGRES"
"201230300","ACEITES Y VINAGRES","VINAGRES"
"201230450","ACEITES Y VINAGRES","VINAGRES"
"201230620","ACEITES Y VINAGRES","VINAGRES"
"201230700","ACEITES Y VINAGRES","VINAGRES"
"201230750","ACEITES Y VINAGRES","VINAGRES"
"103800430","ACEITUNAS Y ENCURTIDOS","ACEITUNAS"
"103800460","ACEITUNAS Y ENCURTIDOS","ACEITUNAS"
"104516010","ACEITUNAS Y ENCURTIDOS","ACEITUNAS"
"104516350","ACEITUNAS Y ENCURTIDOS","ACEITUNAS"
"104518500","ACEITUNAS Y ENCURTIDOS","ACEITUNAS"
"104518510","ACEITUNAS Y ENCURTIDOS","ACEITUNAS"
"104519850","ACEITUNAS Y ENCURTIDOS","ACEITUNAS"
"104520490","ACEITUNAS Y ENCURTIDOS","ACEITUNAS"
"104543460","ACEITUNAS Y ENCURTIDOS","ACEITUNAS"
"104543470","ACEITUNAS Y ENCURTIDOS","ACEITUNAS"
"104544600","ACEITUNAS Y ENCURTIDOS","ACEITUNAS"
"104544610","ACEITUNAS Y ENCURTIDOS","ACEITUNAS"
"150002021","ACEITUNAS Y ENCURTIDOS","ACEITUNAS"
"104351690","ACEITUNAS Y ENCURTIDOS","DESCONTINUADOS"
"104512900","ACEITUNAS Y ENCURTIDOS","DESCONTINUADOS"
"104516160","ACEITUNAS Y ENCURTIDOS","DESCONTINUADOS"
"104516350","ACEITUNAS Y ENCURTIDOS","DESCONTINUADOS"
"104517090","ACEITUNAS Y ENCURTIDOS","DESCONTINUADOS"
"104518500","ACEITUNAS Y ENCURTIDOS","DESCONTINUADOS"
"104518510","ACEITUNAS Y ENCURTIDOS","DESCONTINUADOS"
"104531400","ACEITUNAS Y ENCURTIDOS","DESCONTINUADOS"
"104531410","ACEITUNAS Y ENCURTIDOS","DESCONTINUADOS"
"104531420","ACEITUNAS Y ENCURTIDOS","DESCONTINUADOS"
"150002021","ACEITUNAS Y ENCURTIDOS","DESCONTINUADOS"
"201200060","ACEITUNAS Y ENCURTIDOS","DESCONTINUADOS"
"201200650","ACEITUNAS Y ENCURTIDOS","DESCONTINUADOS"
"201200900","ACEITUNAS Y ENCURTIDOS","DESCONTINUADOS"
"201201020","ACEITUNAS Y ENCURTIDOS","DESCONTINUADOS"
"201210350","ACEITUNAS Y ENCURTIDOS","DESCONTINUADOS"
"201210450","ACEITUNAS Y ENCURTIDOS","DESCONTINUADOS"
"201210970","ACEITUNAS Y ENCURTIDOS","DESCONTINUADOS"
"201211110","ACEITUNAS Y ENCURTIDOS","DESCONTINUADOS"
"201211360","ACEITUNAS Y ENCURTIDOS","DESCONTINUADOS"
"201211560","ACEITUNAS Y ENCURTIDOS","DESCONTINUADOS"
"201221120","ACEITUNAS Y ENCURTIDOS","DESCONTINUADOS"
"201221121","ACEITUNAS Y ENCURTIDOS","DESCONTINUADOS"
"232700540","ACEITUNAS Y ENCURTIDOS","DESCONTINUADOS"
"235002400","ACEITUNAS Y ENCURTIDOS","DESCONTINUADOS"
"235002402","ACEITUNAS Y ENCURTIDOS","DESCONTINUADOS"
"235002403","ACEITUNAS Y ENCURTIDOS","DESCONTINUADOS"
"90127777","ACEITUNAS Y ENCURTIDOS","DESCONTINUADOS"
"90127777","ACEITUNAS Y ENCURTIDOS","Diferencia Precios-Dctos"
"104530130","ACEITUNAS Y ENCURTIDOS","ENCURTIDOS"
"104530140","ACEITUNAS Y ENCURTIDOS","ENCURTIDOS"
"104530240","ACEITUNAS Y ENCURTIDOS","ENCURTIDOS"
"104531630","ACEITUNAS Y ENCURTIDOS","ENCURTIDOS"
"104533710","ACEITUNAS Y ENCURTIDOS","ENCURTIDOS"
"104535520","ACEITUNAS Y ENCURTIDOS","ENCURTIDOS"
"104535530","ACEITUNAS Y ENCURTIDOS","ENCURTIDOS"
"104535540","ACEITUNAS Y ENCURTIDOS","ENCURTIDOS"
"201200082","ACEITUNAS Y ENCURTIDOS","ENCURTIDOS"
"201210650","ACEITUNAS Y ENCURTIDOS","ENCURTIDOS"
"201211550","ACEITUNAS Y ENCURTIDOS","ENCURTIDOS"
"201211560","ACEITUNAS Y ENCURTIDOS","ENCURTIDOS"
"201211650","ACEITUNAS Y ENCURTIDOS","ENCURTIDOS"
"201221650","ACEITUNAS Y ENCURTIDOS","ENCURTIDOS"
"104521730","APERITIVOS","APERITIVOS ORIENTALES"
"104521820","APERITIVOS","APERITIVOS ORIENTALES"
"104534410","APERITIVOS","APERITIVOS ORIENTALES"
"104534420","APERITIVOS","APERITIVOS ORIENTALES"
"104534430","APERITIVOS","APERITIVOS ORIENTALES"
"104534440","APERITIVOS","APERITIVOS ORIENTALES"
"104534450","APERITIVOS","APERITIVOS ORIENTALES"
"104534460","APERITIVOS","APERITIVOS ORIENTALES"
"104534470","APERITIVOS","APERITIVOS ORIENTALES"
"104544830","APERITIVOS","APERITIVOS ORIENTALES"
"104544840","APERITIVOS","APERITIVOS ORIENTALES"
"104544850","APERITIVOS","APERITIVOS ORIENTALES"
"104544860","APERITIVOS","APERITIVOS ORIENTALES"
"104544870","APERITIVOS","APERITIVOS ORIENTALES"
"104517010","APERITIVOS","AROS DE CEBOLLA"
"104530330","APERITIVOS","AROS DE CEBOLLA"
"104539160","APERITIVOS","AROS DE CEBOLLA"
"104543130","APERITIVOS","AROS DE CEBOLLA"
"209100147","APERITIVOS","AROS DE CEBOLLA"
"209100280","APERITIVOS","AROS DE CEBOLLA"
"104534400","APERITIVOS","ARROLLADOS"
"104254070","APERITIVOS","DESCONTINUADOS"
"104254080","APERITIVOS","DESCONTINUADOS"
"104254090","APERITIVOS","DESCONTINUADOS"
"104254120","APERITIVOS","DESCONTINUADOS"
"104254130","APERITIVOS","DESCONTINUADOS"
"104254160","APERITIVOS","DESCONTINUADOS"
"104331010","APERITIVOS","DESCONTINUADOS"
"104332030","APERITIVOS","DESCONTINUADOS"
"104350050","APERITIVOS","DESCONTINUADOS"
"104350140","APERITIVOS","DESCONTINUADOS"
"104352480","APERITIVOS","DESCONTINUADOS"
"104516310","APERITIVOS","DESCONTINUADOS"
"104516970","APERITIVOS","DESCONTINUADOS"
"104516990","APERITIVOS","DESCONTINUADOS"
"104517260","APERITIVOS","DESCONTINUADOS"
"104517270","APERITIVOS","DESCONTINUADOS"
"104517280","APERITIVOS","DESCONTINUADOS"
"104517290","APERITIVOS","DESCONTINUADOS"
"104517310","APERITIVOS","DESCONTINUADOS"
"104517330","APERITIVOS","DESCONTINUADOS"
"104519430","APERITIVOS","DESCONTINUADOS"
"104524050","APERITIVOS","DESCONTINUADOS"
"104527580","APERITIVOS","DESCONTINUADOS"
"104530110","APERITIVOS","DESCONTINUADOS"
"104531490","APERITIVOS","DESCONTINUADOS"
"104534070","APERITIVOS","DESCONTINUADOS"
"104534680","APERITIVOS","DESCONTINUADOS"
"150001900","APERITIVOS","DESCONTINUADOS"
"104350140","APERITIVOS","EMPANADAS PARA FREIR"
"104351690","APERITIVOS","EMPANADAS PARA FREIR"
"104535500","APERITIVOS","EMPANADAS PARA FREIR"
"104541830","APERITIVOS","EMPANADAS PARA FREIR"
