sku,descripcion,categoria,familia,bidfood,central mayorista,interno,jumbo,otros,min_ext,max_ext,fuente_min,fuente_max,gap_min_pct,gap_max_pct
100093620,JALEA EN POLVO FRAMBUESA CARICIA 1 kg,BOLLERIA,POSTRES EN POLVO,,4109.243697478992,4650.0,,,4109.243697478992,4109.243697478992,central mayorista,central mayorista,-0.11629167796150719,-0.11629167796150719
100093780,JALEA EN POLVO NARANJA CARICIA 1 kg,BOLLERIA,POSTRES EN POLVO,,4109.243697478992,4650.0,,,4109.243697478992,4109.243697478992,central mayorista,central mayorista,-0.11629167796150719,-0.11629167796150719
101310213,CACAO AMARGO EDRA 1 Kg,REPOSTERIA,INGREDIENTES REPOSTERIA,,20140.056022408964,11500.0,,9243.697478991597,9243.697478991597,20140.056022408964,otros,central mayorista,-0.19620021921812203,0.75130921933991
101500120,"CHAMPIÃ‘ON LAMINADO ZANAFOODS 2,84 kg",CONSERVAS,VERDURAS,,,2670.18779342723,,,,,,,,
101520140,PALMITOS ESMERALDA 810 g,CONSERVAS,VERDURAS,,,4444.444444444444,,5591.866376180102,5591.866376180102,5591.866376180102,otros,otros,0.25816993464052285,0.25816993464052285
101520250,PALMITOS RODAJAS ESMERALDA 810 g,CONSERVAS,VERDURAS,,3340.3361344537816,3209.876543209876,,,3340.3361344537816,3340.3361344537816,central mayorista,central mayorista,0.04064318034906278,0.04064318034906278
101530550,PIÃ‘A EN RODAJAS ZANAFOODS 3 KG,CONSERVAS,FRUTAS,,,,,,,,,,,
101710090,TE EMBLEM CEYLAN IMP 100 BLS,CAFE Y DERIVADOS,TE Y OTRAS BEBIDAS CALIENTES,,9537.81512605042,15555.555555555555,,,9537.81512605042,9537.81512605042,central mayorista,central mayorista,-0.3868547418967587,-0.3868547418967587
101710133,TE CLUB ORIGINAL IMP 100BLS,CAFE Y DERIVADOS,TE Y OTRAS BEBIDAS CALIENTES,,,16500.0,,,,,,,,
101710137,TE EMBLEM CEYLAN PREMIUM IMP 100BLS,CAFE Y DERIVADOS,TE Y OTRAS BEBIDAS CALIENTES,,16106.442577030813,20000.0,,,16106.442577030813,16106.442577030813,central mayorista,central mayorista,-0.19467787114845936,-0.19467787114845936
